instrument,expectancy_1d,trades_1d,wins_1d,losses_1d,flats_1d,sum_r_1d,winrate_1d,expectancy_timeframe,trades_timeframe,wins_timeframe,losses_timeframe,flats_timeframe,sum_r_timeframe,winrate_timeframe
IEI,0.025590375629140863,,,,,,,0.025590375629140863,570,229,341,0,14.586514108610292,40.17543859649123
MRK,0.025402229066864315,,,,,,,0.025402229066864315,1061,437,624,0,26.951765039943037,41.1875589066918
VWO,0.02485774183887372,,,,,,,0.02485774183887372,1113,461,651,1,27.66666666666645,41.41958670260557
PALL,0.024390243902439098,,,,,,,0.024390243902439098,779,325,453,1,19.000000000000057,41.7201540436457
EWQ,0.023236504273174252,,,,,,,0.023236504273174252,1647,687,960,0,38.27052253791799,41.712204007285976
IAU,0.022578604155490827,,,,,,,0.022578604155490827,954,393,561,0,21.53998836433825,41.19496855345912
USO,0.022140536137096756,,,,,,,0.022140536137096756,665,274,391,0,14.723456531169344,41.203007518796994
LPP.WA,0.022029219040972967,,,,,,,0.022029219040972967,727,293,434,0,16.015242242787348,40.30261348005502
RIO,0.02196598054911501,,,,,,,0.02196598054911501,2141,898,1243,0,47.02916435565523,41.94301728164409
DNP.WA,0.021798115822216628,,,,,,,0.021798115822216628,200,81,119,0,4.359623164443326,40.5
DBO,0.021512219510340155,,,,,,,0.021512219510340155,702,292,410,0,15.10157809625879,41.5954415954416
TEN.WA,0.019477788702058896,,,,,,,0.019477788702058896,158,65,93,0,3.0774906149253054,41.139240506329116
UGA,0.019321103003349747,,,,,,,0.019321103003349747,776,320,456,0,14.993175930599405,41.23711340206185
^N225,0.01894193927809411,,,,,,,0.01894193927809411,2219,641,907,671,42.03216325809083,28.886885984677786
SPY,0.017454916071756345,,,,,,,0.017454916071756345,1011,413,598,0,17.646920148545664,40.85064292779426
PEP,0.016535799859355004,,,,,,,0.016535799859355004,882,359,523,0,14.584575475951112,40.702947845804985
EFA,0.016382200648461156,,,,,,,0.016382200648461156,1133,462,671,0,18.56103333470649,40.77669902912621
UNG,0.016316108777752733,,,,,,,0.016316108777752733,804,331,473,0,13.118151457313198,41.16915422885572
TPE.WA,0.015658195737352238,,,,,,,0.015658195737352238,397,160,237,0,6.216303707728839,40.302267002518896
JSW.WA,0.015337423312883547,,,,,,,0.015337423312883547,326,130,195,1,5.000000000000036,39.87730061349693
ZC=F,0.014531330416881824,,,,,,,0.014531330416881824,1072,431,611,30,15.577586206897315,40.20522388059701
